date	title	url	file	chars
2007-03-19	Two Questions	https://hapgood.us/2007/03/19/hello-world-3/	by/2007--hapgood-hello-world-3.md	423
2007-05-30	ePortfolios, Durability, and the Black Binder Test	https://hapgood.us/2007/05/30/eportfolios-durability-and-the-black-binder-test/	by/2007--hapgood-eportfolios-durability-and-the-black-binder-test.md	3761
2007-06-01	Systemantics Thought for the Day: Loose Systems Less Hostile to Human Life	https://hapgood.us/2007/06/01/systemantics-thought-for-the-day-loose-systems-less-hostile-to-human-life/	by/2007--hapgood-systemantics-thought-for-the-day-loose-systems-less-hostile.md	1454
2007-06-04	Seth Godin: Blow up your Home Page	https://hapgood.us/2007/06/04/blow-up-your-home-page/	by/2007--hapgood-blow-up-your-home-page.md	1096
2007-06-15	My first e-learning experience (1981)	https://hapgood.us/2007/06/15/my-first-e-learning-experience-1981/	by/2007--hapgood-my-first-e-learning-experience-1981.md	1092
2007-06-15	Michael Gorman wins Gold Medal for Irony	https://hapgood.us/2007/06/15/9/	by/2007--hapgood-9.md	1497
2007-06-17	Enterprise Learning Systems Considered Harmful to Learning	https://hapgood.us/2007/06/17/enterprise-learning-systems-considered-harmful-to-learning/	by/2007--hapgood-enterprise-learning-systems-considered-harmful-to-learning.md	2150
2007-06-21	WordPress MU and eportfolio reporting requirements	https://hapgood.us/2007/06/21/wordpress-mu-and-eportfolio-reporting-requirements/	by/2007--hapgood-wordpress-mu-and-eportfolio-reporting-requirements.md	1576
2007-06-22	Twitter as Identity System?	https://hapgood.us/2007/06/22/twitter-as-identity-system/	by/2007--hapgood-twitter-as-identity-system.md	391
2007-06-22	Messaging, Phatic Overhead, and the Right to Connect	https://hapgood.us/2007/06/22/messaging-and-phatic-overhead/	by/2007--hapgood-messaging-and-phatic-overhead.md	3770
2007-06-25	Twittergram	https://hapgood.us/2007/06/25/twittergram/	by/2007--hapgood-twittergram.md	181
2007-06-25	Twittergram #2: Can we plug Jott into this?	https://hapgood.us/2007/06/25/twittergram-2-can-we-plug-jott-into-this/	by/2007--hapgood-twittergram-2-can-we-plug-jott-into-this.md	603
2007-06-25	Universal Grammar, meet the Black Swan	https://hapgood.us/2007/06/25/universal-grammar-meet-the-black-swan/	by/2007--hapgood-universal-grammar-meet-the-black-swan.md	2418
2007-06-26	John Willinsky and the Ten Years War	https://hapgood.us/2007/06/26/john-willinsky-and-the-ten-years-war/	by/2007--hapgood-john-willinsky-and-the-ten-years-war.md	2364
2007-06-29	The Humanity of Loose Systems	https://hapgood.us/2007/06/29/the-humanity-of-loose-systems-2/	by/2007--hapgood-the-humanity-of-loose-systems-2.md	1803
2007-07-03	Offline thinking	https://hapgood.us/2007/07/03/offline-thinking/	by/2007--hapgood-offline-thinking.md	5941
2007-07-06	ISA, HASA, and the Inverted LMS	https://hapgood.us/2007/07/06/isa-hasa-and-the-inverted-lms/	by/2007--hapgood-isa-hasa-and-the-inverted-lms.md	3703
2007-07-12	Inverted LMS Revisited: The various uses of containers	https://hapgood.us/2007/07/12/inverted-lms-revisited-the-various-uses-of-containers/	by/2007--hapgood-inverted-lms-revisited-the-various-uses-of-containers.md	6205
2007-07-13	Twittergram Rock: Last Time You Were Here	https://hapgood.us/2007/07/13/twittergram-rock-last-time-you-were-here/	by/2007--hapgood-twittergram-rock-last-time-you-were-here.md	214
2007-07-13	Marc Andreessen Supports the Inverted LMS (sort of)	https://hapgood.us/2007/07/13/marc-andreessen-supports-the-inverted-lms-sort-of/	by/2007--hapgood-marc-andreessen-supports-the-inverted-lms-sort-of.md	1802
2007-07-23	Send Bloggers	https://hapgood.us/2007/07/23/send-bloggers/	by/2007--hapgood-send-bloggers.md	2166
2007-07-24	It’s not just Experts vs. Amateurs. It’s Experts vs. Experts in Something Else.	https://hapgood.us/2007/07/24/its-not-just-experts-vs-amateurs-its-experts-vs-experts-in-something-else/	by/2007--hapgood-its-not-just-experts-vs-amateurs-its-experts-vs-experts-in-s.md	3112
2007-07-25	In Which I Meet Our (Other) Allies	https://hapgood.us/2007/07/25/in-which-we-meet-our-allies/	by/2007--hapgood-in-which-we-meet-our-allies.md	3700
2007-07-26	You’re already out there	https://hapgood.us/2007/07/26/youre-already-out-there/	by/2007--hapgood-youre-already-out-there.md	1978
2007-07-27	Goal-based scenario/simulation vs. learning 2.0	https://hapgood.us/2007/07/27/simulation-vs-learning-20/	by/2007--hapgood-simulation-vs-learning-20.md	5704
2007-07-30	Electronic Textbooks and CommentPress	https://hapgood.us/2007/07/30/electronic-textbooks-and-commentpress/	by/2007--hapgood-electronic-textbooks-and-commentpress.md	584
2007-07-30	Where will the wave come from?	https://hapgood.us/2007/07/30/where-will-the-wave-come-from/	by/2007--hapgood-where-will-the-wave-come-from.md	2389
2007-07-31	EPortaro demonstration today (any help?)	https://hapgood.us/2007/07/31/eportaro-demonstration-today-any-help/	by/2007--hapgood-eportaro-demonstration-today-any-help.md	539
2007-07-31	Loosely coupled assessment	https://hapgood.us/2007/07/31/loosely-coupled-assessment/	by/2007--hapgood-loosely-coupled-assessment.md	2244
2007-08-01	Leigh Blackall: Teaching is Dead, Long Live Learning	https://hapgood.us/2007/08/01/leigh-blackall-teaching-is-dead-long-live-learning/	by/2007--hapgood-leigh-blackall-teaching-is-dead-long-live-learning.md	1291
2007-08-03	Prometheus Meets the Enterprise Management System	https://hapgood.us/2007/08/03/prometheus-meets-the-enterprise-management-system/	by/2007--hapgood-prometheus-meets-the-enterprise-management-system.md	1767
2007-08-06	Panels	https://hapgood.us/2007/08/06/panels/	by/2007--hapgood-panels.md	1338
2007-08-07	First 35 claims of Blackboard’s patent ruled invalid	https://hapgood.us/2007/08/07/first-35-claims-of-blackboards-patent-ruled-invalid/	by/2007--hapgood-first-35-claims-of-blackboards-patent-ruled-invalid.md	241
2007-08-08	Progress on loosely coupled assessment	https://hapgood.us/2007/08/08/progress-on-loosely-coupled-assessment/	by/2007--hapgood-progress-on-loosely-coupled-assessment.md	2943
2007-08-10	There is no “tech”. Get over it.	https://hapgood.us/2007/08/10/there-is-no-tech-get-over-it/	by/2007--hapgood-there-is-no-tech-get-over-it.md	1638
2007-08-16	At eportfolio workshop	https://hapgood.us/2007/08/16/at-eportfolio-workshop/	by/2007--hapgood-at-eportfolio-workshop.md	262
2007-08-21	Giving your students a toolbelt	https://hapgood.us/2007/08/21/giving-your-students-a-toolbelt/	by/2007--hapgood-giving-your-students-a-toolbelt.md	1293
2007-08-22	The college as student/project matchmaker	https://hapgood.us/2007/08/22/the-college-as-matchmaker/	by/2007--hapgood-the-college-as-matchmaker.md	4001
2007-08-22	The SmallWonder arrives	https://hapgood.us/2007/08/22/the-smallwonder-arrives/	by/2007--hapgood-the-smallwonder-arrives.md	594
2007-08-28	Announcing the Learning 2.0 Pecha Kucha Contest	https://hapgood.us/2007/08/28/announcing-the-learning-20-pecha-kucha-contest/	by/2007--hapgood-announcing-the-learning-20-pecha-kucha-contest.md	993
2007-08-29	The Parable of the Thingamajig	https://hapgood.us/2007/08/29/the-parable-of-the-thingamajig/	by/2007--hapgood-the-parable-of-the-thingamajig.md	4257
2007-08-30	A meager start	https://hapgood.us/2007/08/30/a-meager-start/	by/2007--hapgood-a-meager-start.md	1577
2007-08-31	This is your Italian course. This is your Italian course on WordPress.	https://hapgood.us/2007/08/31/this-is-your-italian-course-this-is-your-italian-course-on-wordpress/	by/2007--hapgood-this-is-your-italian-course-this-is-your-italian-course-on-w.md	722
2007-09-07	Our responsibility	https://hapgood.us/2007/09/07/our-responsibility/	by/2007--hapgood-our-responsibility.md	2388
2007-09-07	Fantasy Congress and the usefulness of wrong models	https://hapgood.us/2007/09/07/fantasy-congress-and-the-usefulness-of-wrong-models/	by/2007--hapgood-fantasy-congress-and-the-usefulness-of-wrong-models.md	1903
2007-09-12	The answer to the legal objections	https://hapgood.us/2007/09/12/the-answer-to-the-legal-objections/	by/2007--hapgood-the-answer-to-the-legal-objections.md	1867
2007-09-12	Dr. Sander Lee on James Madison and Democracy	https://hapgood.us/2007/09/12/dr-sander-lee-on-james-madison-and-democracy-2/	by/2007--hapgood-dr-sander-lee-on-james-madison-and-democracy-2.md	1207
2007-09-15	The hypocisy of the recent ECAR study	https://hapgood.us/2007/09/15/the-hypocisy-of-the-recent-ecar-study/	by/2007--hapgood-the-hypocisy-of-the-recent-ecar-study.md	1148
2007-09-18	On Hockney, mathematicians, and the cross-cultural fallacy	https://hapgood.us/2007/09/18/on-hockney-mathematicians-and-the-cross-cultural-fallacy/	by/2007--hapgood-on-hockney-mathematicians-and-the-cross-cultural-fallacy.md	5344
2007-10-02	Credentials	https://hapgood.us/2007/10/02/credentials/	by/2007--hapgood-credentials.md	3239
2007-10-03	Support Music over Lawyers. Buy Radiohead.	https://hapgood.us/2007/10/03/support-music-over-lawyers-buy-radiohead/	by/2007--hapgood-support-music-over-lawyers-buy-radiohead.md	1038
2007-10-08	Entrepreneurship meets Service meets Academic Engagement…	https://hapgood.us/2007/10/08/entrepreneurship-meets-service-meets-academic-engagement/	by/2007--hapgood-entrepreneurship-meets-service-meets-academic-engagement.md	2630
2007-10-08	Curatorial Teaching	https://hapgood.us/2007/10/08/curatorial-teaching/	by/2007--hapgood-curatorial-teaching.md	1320
2007-10-10	Front Page HuffPo	https://hapgood.us/2007/10/10/front-page-huffpo/	by/2007--hapgood-front-page-huffpo.md	474
2007-10-15	Networked Learning and Distributed Reporting	https://hapgood.us/2007/10/15/networked-learning-and-distributed-reporting/	by/2007--hapgood-networked-learning-and-distributed-reporting.md	3399
2007-10-15	With the exception of the multitasking bit	https://hapgood.us/2007/10/15/with-the-exception-of-the-multitasking-bit/	by/2007--hapgood-with-the-exception-of-the-multitasking-bit.md	148
2007-10-16	Brightcove Test	https://hapgood.us/2007/10/16/brightcove-test/	by/2007--hapgood-brightcove-test.md	139
2007-10-17	The proposal I’d like to write	https://hapgood.us/2007/10/17/the-proposal-id-like-to-write/	by/2007--hapgood-the-proposal-id-like-to-write.md	3693
