date	file	source_url	status
1997-10-08	joho-oct8-97.html	https://www.hyperorg.com/backissues/joho-oct8-97.html	out-of-window (pre-2005)
1997-10-18	joho-oct18-97.html	https://www.hyperorg.com/backissues/joho-oct18-97.html	out-of-window (pre-2005)
1997-12-05	joho-dec5-97.html	https://www.hyperorg.com/backissues/joho-dec5-97.html	out-of-window (pre-2005)
1997-12-20	joho-dec20-97.html	https://www.hyperorg.com/backissues/joho-dec20-97.html	out-of-window (pre-2005)
1998-01-04	joho-jan4-98.html	https://www.hyperorg.com/backissues/joho-jan4-98.html	out-of-window (pre-2005)
1998-01-20	joho-jan20-98.html	https://www.hyperorg.com/backissues/joho-jan20-98.html	out-of-window (pre-2005)
1998-02-04	joho-feb4-98.html	https://www.hyperorg.com/backissues/joho-feb4-98.html	out-of-window (pre-2005)
1998-02-20	joho-feb20-98.html	https://www.hyperorg.com/backissues/joho-feb20-98.html	out-of-window (pre-2005)
1998-03-19	joho-march19-98.html	https://www.hyperorg.com/backissues/joho-march19-98.html	out-of-window (pre-2005)
1998-04-10	joho-april10-98.html	https://www.hyperorg.com/backissues/joho-april10-98.html	out-of-window (pre-2005)
1998-04-25	joho-apr25-98.html	https://www.hyperorg.com/backissues/joho-apr25-98.html	out-of-window (pre-2005)
1998-05-16	joho-may16-98.html	https://www.hyperorg.com/backissues/joho-may16-98.html	out-of-window (pre-2005)
1998-06-02	joho-june2-98.html	https://www.hyperorg.com/backissues/joho-june2-98.html	out-of-window (pre-2005)
1998-06-04	joho-june4-98.html	https://www.hyperorg.com/backissues/joho-june4-98.html	out-of-window (pre-2005)
1998-06-21	joho-june21-98.html	https://www.hyperorg.com/backissues/joho-june21-98.html	out-of-window (pre-2005)
1998-06-30	joho-june30-98.txt	https://www.hyperorg.com/backissues/joho-june30-98.txt	out-of-window (pre-2005)
1998-07-23	joho-july23-98.html	https://www.hyperorg.com/backissues/joho-july23-98.html	out-of-window (pre-2005)
1998-08-17	joho-aug17-98.html	https://www.hyperorg.com/backissues/joho-aug17-98.html	out-of-window (pre-2005)
1998-10-17	joho-oct17-98.html	https://www.hyperorg.com/backissues/joho-oct17-98.html	out-of-window (pre-2005)
1998-11-05	joho-nov5-98.html	https://www.hyperorg.com/backissues/joho-nov5-98.html	out-of-window (pre-2005)
